flat,park_dist,num_park_2km
103 SPOTTISWOODE PK RD,0.9765255085448877,10
980 JURONG WEST ST 93,0.19982319747425126,4
82 STRATHMORE AVE,1.6795044946939974,5
588C ANG MO KIO ST 52,0.40167027324632815,22
106 LENGKONG TIGA,0.48900934054956263,14
212B COMPASSVALE DR,0.6995939023695963,2
112 YISHUN RING RD,0.6192008779701992,8
585 WOODLANDS DR 16,1.9640506550133872,1
669 HOUGANG AVE 8,0.6630511726218626,14
420 FAJAR RD,1.2915647397538754,9
350 UBI AVE 1,1.2609329079998264,9
122B SENGKANG EAST WAY,0.5846774346084833,3
703 WOODLANDS DR 40,1.654213957388682,2
256 BISHAN ST 22,0.5133980988883691,25
504 BEDOK NTH ST 3,1.0108699084860406,19
626 CHOA CHU KANG ST 62,1.0542156779198193,2
547 ANG MO KIO AVE 10,0.8291512030744522,28
195E PUNGGOL RD,0.9174020580666142,4
319 UBI AVE 1,1.2441366301375616,9
288 CHOA CHU KANG AVE 3,1.396917337946942,4
277B COMPASSVALE LINK,0.753660954199354,6
881 TAMPINES ST 84,1.5118511992704922,2
133 SIMEI ST 1,0.5364194983825239,12
89 TANGLIN HALT RD,0.9225714265989858,7
310 SHUNFU RD,0.2815651606532096,17
296 CHOA CHU KANG AVE 2,1.368954811206617,4
857 WOODLANDS ST 83,1.3988046633305704,2
496D TAMPINES AVE 9,0.29162497667976905,8
556 ANG MO KIO AVE 10,0.832616880469371,26
395 TAMPINES AVE 7,1.1812088623684314,13
50 DORSET RD,0.5728801557676678,20
180B MARSILING RD,0.29653221433807003,4
43 LENGKOK BAHRU,0.8982391010787342,6
269C PUNGGOL FIELD,1.071718556032178,4
711 HOUGANG AVE 2,0.25247012062121316,13
213 BISHAN ST 23,0.48255095498801204,21
132 YISHUN ST 11,0.6860693994856505,8
826 YISHUN ST 81,0.46549425521197274,8
246 JURONG EAST ST 24,1.174848641995418,1
128 POTONG PASIR AVE 1,0.914220612856173,10
180B RIVERVALE CRES,0.6628618015904497,3
542 ANG MO KIO AVE 10,0.7742512046528933,26
417 BT BATOK WEST AVE 4,1.2042613679028078,8
415 SERANGOON CTRL,0.8104060456709715,27
270A SENGKANG CTRL,1.0901512695394442,5
214 BEDOK NTH ST 1,0.8798339782154492,24
127 SIMEI ST 1,0.6623908397481459,11
235 CHOA CHU KANG CTRL,0.9029299162295766,5
788C WOODLANDS CRES,2.2008373464391,0
22 HAVELOCK RD,0.3946911864502467,13
474 TAMPINES ST 43,0.6385217803092041,11
14 BEDOK STH AVE 2,0.4594043787922117,25
265 BOON LAY DR,0.8591018929127524,6
303 ANG MO KIO AVE 1,0.6175053366205239,23
479 PASIR RIS DR 4,0.8522276447488281,7
5 UPP ALJUNIED LANE,0.20130348152734306,14
110 CLEMENTI ST 13,0.2643320887959574,25
104 JURONG EAST ST 13,0.7215554729186533,1
347 WOODLANDS AVE 3,0.4542672060749331,3
892 TAMPINES AVE 8,1.1296965688327802,2
335 UBI AVE 1,1.2925256684981752,9
10 EUNOS CRES,0.8785569144265123,13
260 TAMPINES ST 21,0.8077333619892964,11
391 TAMPINES AVE 7,1.0875482493592323,13
107 PASIR RIS ST 12,0.735518746189749,10
151 SIMEI ST 1,0.3442850214010062,10
441 JURONG WEST AVE 1,1.2602740641958319,2
9 REDHILL CL,0.8978996086524569,7
375 HOUGANG ST 31,0.4592279005849539,14
82 MACPHERSON LANE,0.4666861414309675,13
927 HOUGANG ST 91,0.6958071661610337,18
310C PUNGGOL WALK,0.5653265546847076,2
285B TOH GUAN RD,1.5713038403537432,2
355 TAMPINES ST 33,0.8717206314488655,12
390 YISHUN AVE 6,0.8377215600994244,3
122 GEYLANG EAST CTRL,0.5424285729738385,13
410 TAMPINES ST 41,0.18542494303159313,4
130 BT MERAH VIEW,0.3370756171836267,8
517 CHOA CHU KANG ST 51,0.6521691676444024,2
18 TECK WHYE LANE,0.4418387229506742,8
570B WOODLANDS AVE 1,1.387732930351028,2
296 YISHUN ST 20,0.251028641630015,8
210 BT BATOK ST 21,1.3694745498858398,10
651 YISHUN AVE 4,0.4059155445629594,6
520 JELAPANG RD,1.5593932993051534,7
405B FERNVALE LANE,0.3768326856708191,23
612 ELIAS RD,0.28866507655428003,6
109A DEPOT RD,0.26399387687982245,7
206D COMPASSVALE LANE,0.886733454251429,4
411B FERNVALE RD,0.5300465244727899,16
786D WOODLANDS DR 60,2.125498548395018,0
104 BEDOK RESERVOIR RD,0.5746474714429471,11
10 JLN KUKOH,0.5104849361728648,24
538 JURONG WEST AVE 1,1.1422803516744349,5
352 TAMPINES ST 33,0.7569353133791364,11
370 WOODLANDS AVE 1,1.0093390368642248,2
314 TAMPINES ST 33,0.7658315286057029,12
808 TAMPINES AVE 4,1.3139895954366,4
602 WOODLANDS DR 42,1.7254857722658041,2
271C PUNGGOL WALK,0.8863689268593526,4
37 TANGLIN HALT RD,0.6568925781794736,8
401 CHOA CHU KANG AVE 3,1.4221431542843943,4
301 JURONG EAST ST 32,1.0063510125892519,2
795A YISHUN RING RD,1.0462522479225964,7
41 HOLLAND DR,0.5052172091760672,18
633 VEERASAMY RD,0.3004279052921184,22
5 BEDOK STH AVE 2,0.6071170758624356,24
347B YISHUN AVE 11,0.3218233255805518,5
2A BOON TIONG RD,0.4624410417291098,17
246 BISHAN ST 22,0.4459352036327731,22
35 CIRCUIT RD,0.6730055887004988,13
252 HOUGANG AVE 3,0.8517429795655479,16
611 JURONG WEST ST 65,0.7989753092170845,6
375 CLEMENTI AVE 4,0.8906523048322418,20
192 PASIR RIS ST 12,0.8136848580206829,8
157 YISHUN ST 11,0.6075401280204663,7
111 EDGEFIELD PLAINS,0.6406478775145995,3
23 BENDEMEER RD,0.754611382432721,9
34 CASSIA CRES,0.4512145061162862,13
17 EUNOS CRES,1.0356954319153413,14
761 CHOA CHU KANG NTH 5,0.4404326541574828,2
248 JURONG EAST ST 24,1.20933091079698,1
771 WOODLANDS DR 60,1.7928712434182814,1
6B BOON TIONG RD,0.3132008208946713,16
5 SEMBAWANG RD,0.129289283174988,27
212 BT BATOK ST 21,1.2033233992878658,11
140 BISHAN ST 12,0.9880399950612997,14
988B BUANGKOK GREEN,0.2510543431253278,20
980B BUANGKOK CRES,0.6623625796505173,16
860 TAMPINES AVE 5,0.8742015643759536,3
787 CHOA CHU KANG NTH 6,0.7426613542271497,2
281 TAMPINES ST 22,0.7768425133881436,12
183D RIVERVALE CRES,0.5576203789591616,3
146 JLN BT MERAH,0.6836845254652001,11
128 BT MERAH VIEW,0.555077705672747,7
695 JURONG WEST CTRL 1,0.5052227852944156,6
