flat,mall,mall_dist,num_mall_2km
178 EDGEFIELD PLAINS,Oasis Terraces,0.6461254739782271,6
132 CLARENCE LANE,Anchorpoint,1.0960330745835791,6
288D BT BATOK ST 25,West Mall,1.2383141435863017,4
174C EDGEDALE PLAINS,Punggol Plaza,0.4192318662533977,6
229 PASIR RIS ST 21,Loyang Point,0.7574876081840547,3
35 JLN RUMAH TINGGI,Anchorpoint,0.3750329884529986,5
335 TAMPINES ST 32,Eastpoint Mall,1.3797212591592412,5
410A FERNVALE RD,The Seletar Mall,0.14888535062157665,5
325 CLEMENTI AVE 5,Grantral Mall,0.2346875407392733,5
584 WOODLANDS DR 16,888 Plaza,0.8391243328346116,5
653C JURONG WEST ST 61,Pioneer Mall,0.6818123601617404,3
31 HOLLAND CL,The Star Vista,0.9575624224733452,2
360 BT BATOK ST 31,West Mall,1.2159845602071908,4
915 HOUGANG ST 91,Hougang 1,0.5040707363036425,7
141 PASIR RIS ST 11,Loyang Point,0.6992267333693848,4
312 TAMPINES ST 33,Eastpoint Mall,1.198194853825486,6
617C PUNGGOL DR,Oasis Terraces,0.11835546122343354,4
177 WOODLANDS ST 13,Marsiling Mall,0.20688808544260268,3
328 SERANGOON AVE 3,NEX,0.3928784646678907,2
188B RIVERVALE DR,Rivervale Mall,0.27935342226106075,6
239 LOR 1 TOA PAYOH,HDB Hub,1.020314849904043,4
724 JURONG WEST ST 72,Gek Poh Shopping Centre,0.40416267633701314,4
218 PETIR RD,Fajar Shopping Centre,1.0931485297099595,7
58 STRATHMORE AVE,Anchorpoint,0.7369366527951542,5
310 TAMPINES ST 32,Eastpoint Mall,1.2840199340740432,6
662 YISHUN AVE 4,Wisteria Mall,0.2845839393821734,3
894B WOODLANDS DR 50,Causeway Point,0.41315964490752766,5
128 RIVERVALE ST,Rivervale Mall,0.2755044106825177,6
750 WOODLANDS AVE 4,Woodlands Mart,0.4950288581428576,5
326 TAMPINES ST 32,Eastpoint Mall,1.2718307913682325,6
79 MARINE DR,Parkway Parade,0.2860108486386997,7
309 CANBERRA RD,Sun Plaza,0.2846435382695599,3
805 CHAI CHEE RD,Bedok Mall,0.866776407072004,4
103 SPOTTISWOODE PK RD,100 AM,0.9116182027747174,6
980 JURONG WEST ST 93,Pioneer Mall,0.46224900067821195,3
82 STRATHMORE AVE,Anchorpoint,0.7122112848037675,3
588C ANG MO KIO ST 52,AMK Hub,0.6379047137482937,2
106 LENGKONG TIGA,Singapore Post Centre (Singpost Centre),1.8302414289982016,1
212B COMPASSVALE DR,Rivervale Plaza,0.1702143594368239,7
