flat,hawker,hawker_dist,num_hawker_2km
443 HOUGANG AVE 8,Market Street Food Centre,2.3898106663040783,0
107 TOWNER RD,Pek Kio Market & Food Centre,1.1671380625721584,6
662 CHOA CHU KANG CRES,Blks 20/21 Marsiling Lane,5.480564301883064,0
986B BUANGKOK CRES,Chomp Chomp Food Centre,2.5020432080909822,0
415 TAMPINES ST 41,Market Street Food Centre,1.5348147479685146,1
972 HOUGANG ST 91,Chomp Chomp Food Centre,2.107284746638703,0
158 WOODLANDS ST 13,Blks 20/21 Marsiling Lane,1.0693846773441307,4
136 BT BATOK WEST AVE 6,Market Street Food Centre,1.1290260150137166,1
232 ANG MO KIO AVE 3,Sembawang Hill Food Centre,1.016162316946536,3
108 LOR 1 TOA PAYOH,Blk 93 Toa Payoh Lorong 4,0.4237659683724446,4
756 CHOA CHU KANG NTH 5,Market Street Food Centre,5.484641994046821,0
572 PASIR RIS ST 53,Market Street Food Centre,3.0688148136382334,0
855 JURONG WEST ST 81,Blk 505 Jurong West Street 52,2.4954413260342516,0
619 JURONG WEST ST 65,Blk 505 Jurong West Street 52,2.251237661107986,0
418 BEDOK NTH AVE 2,Blk 216 Bedok North Street 1,0.39887227166398126,7
516 WEST COAST RD,Blk 726 Clementi West Street 2,0.6448215656707601,3
313 TAMPINES ST 33,Market Street Food Centre,1.5347724927674622,1
411 SAUJANA RD,Bukit Timah Market,4.901638307706595,0
530 ANG MO KIO AVE 10,Blk 724 Ang Mo Kio Ave 6,0.9760076541363933,4
618 WOODLANDS AVE 4,Blks 20/21 Marsiling Lane,2.4386420704021132,0
484 ADMIRALTY LINK,Chong Pang Market & Food Centre,3.1354537309379094,0
205 TAMPINES ST 21,Market Street Food Centre,1.0505572904756586,1
133 YISHUN ST 11,Chong Pang Market & Food Centre,0.28672131892742336,2
412A FERNVALE LINK,Chomp Chomp Food Centre,3.0394067782218346,0
59 MARINE TER,Blk 50A Marine Terrace,0.11521429712876594,3
454 JURONG WEST ST 42,Blk 505 Jurong West Street 52,0.1707891217729097,3
17A TELOK BLANGAH CRES,Blk 11 Telok Blangah Crescent,0.32968490294436814,7
716 BEDOK RESERVOIR RD,Blk 538 Bedok North Street 3,0.6681137480053536,4
139B LOR 1A TOA PAYOH,Blk 93 Toa Payoh Lorong 4,0.6518768781794394,4
148 WOODLANDS ST 13,Blks 20/21 Marsiling Lane,0.9109901850077987,4
102 ANG MO KIO AVE 3,Blk 724 Ang Mo Kio Ave 6,0.8094347751365956,3
181 PASIR RIS ST 11,Market Street Food Centre,2.7201341184161665,0
672A KLANG LANE,Tekka Market,0.3343862873199581,9
13 EUNOS CRES,Blk 4A Eunos Crescent,0.2753744386974112,5
494 JURONG WEST ST 41,Blk 505 Jurong West Street 52,0.7198611513532774,4
233 COMPASSVALE WALK,Market Street Food Centre,3.780615865515771,0
974 JURONG WEST ST 93,Blk 505 Jurong West Street 52,3.0118548950277666,0
435 YISHUN AVE 6,Chong Pang Market & Food Centre,2.382506482478948,0
633 BEDOK RESERVOIR RD,Blk 4A Eunos Crescent,1.1154941218622032,3
899B WOODLANDS DR 50,Blks 20/21 Marsiling Lane,2.18201163962161,0
842 TAMPINES ST 82,Market Street Food Centre,1.1649078748312958,1
307B ANG MO KIO AVE 1,Blk 724 Ang Mo Kio Ave 6,0.733783483477592,4
142 BISHAN ST 12,Blk 210 Toa Payoh Lorong 8,0.6057317859205893,5
12 UPP BOON KENG RD,North Bridge Road Market & Food Centre,1.1137458038806631,8
178 EDGEFIELD PLAINS,Market Street Food Centre,5.105240357725652,0
132 CLARENCE LANE,ABC Brickworks Market & Food Centre,0.9470009890710691,7
288D BT BATOK ST 25,Bukit Timah Market,1.994140649833565,1
174C EDGEDALE PLAINS,Market Street Food Centre,4.989081225444601,0
229 PASIR RIS ST 21,Blks 2 & 3 Changi Village Road,3.4718368098628303,0
35 JLN RUMAH TINGGI,ABC Brickworks Market & Food Centre,0.13781796819388156,5
335 TAMPINES ST 32,Market Street Food Centre,1.9299696020295052,1
410A FERNVALE RD,Chomp Chomp Food Centre,3.0404740736353397,0
325 CLEMENTI AVE 5,Blk 448 Clementi Ave 3,0.3675062728431426,3
584 WOODLANDS DR 16,Blks 20/21 Marsiling Lane,2.5079454261023884,0
653C JURONG WEST ST 61,Taman Jurong Market & Food Centre,2.7376360402271067,0
31 HOLLAND CL,Commonwealth Crescent Market,0.37085475558757064,4
360 BT BATOK ST 31,Market Street Food Centre,2.4056817843413807,0
915 HOUGANG ST 91,Market Street Food Centre,2.0614552780021023,0
141 PASIR RIS ST 11,Market Street Food Centre,2.572049046747566,0
312 TAMPINES ST 33,Market Street Food Centre,1.5970077660071695,1
617C PUNGGOL DR,Market Street Food Centre,5.574612787352233,0
177 WOODLANDS ST 13,Blks 20/21 Marsiling Lane,1.0121273881222959,4
328 SERANGOON AVE 3,Serangoon Garden Market,1.4345208795487983,4
188B RIVERVALE DR,Market Street Food Centre,4.474300577557512,0
239 LOR 1 TOA PAYOH,Blk 93 Toa Payoh Lorong 4,0.28890222755483913,3
724 JURONG WEST ST 72,Blk 505 Jurong West Street 52,2.309870304322263,0
218 PETIR RD,Bukit Timah Market,3.86411406732733,0
58 STRATHMORE AVE,ABC Brickworks Market & Food Centre,0.7399139144415766,7
310 TAMPINES ST 32,Market Street Food Centre,1.631964708882435,1
662 YISHUN AVE 4,Chong Pang Market & Food Centre,1.8193966465603264,2
894B WOODLANDS DR 50,Blks 20/21 Marsiling Lane,1.6381290532140533,4
128 RIVERVALE ST,Market Street Food Centre,3.9336402022701957,0
750 WOODLANDS AVE 4,Blks 20/21 Marsiling Lane,1.8566295887540596,4
326 TAMPINES ST 32,Market Street Food Centre,1.7376035813493176,1
79 MARINE DR,Blk 50A Marine Terrace,1.0014128429486806,2
309 CANBERRA RD,Chong Pang Market & Food Centre,1.805509018758084,2
805 CHAI CHEE RD,Blk 538 Bedok North Street 3,0.9132651715414595,7
103 SPOTTISWOODE PK RD,Blk 6 Tanjong Pagar Plaza,0.9039750402578759,13
