flat,supermarket_dist,num_supermarket_2km
662 YISHUN AVE 4,0.6952718115481493,16
894B WOODLANDS DR 50,0.3250583661581184,15
128 RIVERVALE ST,0.2991459224976522,19
750 WOODLANDS AVE 4,0.3734141659759674,14
326 TAMPINES ST 32,0.2746463775538982,15
79 MARINE DR,0.07289856248933209,11
309 CANBERRA RD,0.2824167764717074,13
805 CHAI CHEE RD,0.30256798660001333,19
103 SPOTTISWOODE PK RD,0.8774352081928576,17
980 JURONG WEST ST 93,0.38248251752926243,8
82 STRATHMORE AVE,0.14108351884668976,12
588C ANG MO KIO ST 52,0.0942707877623114,14
106 LENGKONG TIGA,0.1844378458443703,17
212B COMPASSVALE DR,0.17677861290066407,15
112 YISHUN RING RD,0.3939214265247366,15
585 WOODLANDS DR 16,0.21034301293936475,10
669 HOUGANG AVE 8,0.1856073543264024,18
420 FAJAR RD,0.18842226111026075,10
350 UBI AVE 1,0.4552882081972986,19
122B SENGKANG EAST WAY,0.5382066838772357,14
703 WOODLANDS DR 40,0.4469688760337468,14
256 BISHAN ST 22,0.4691699290972856,17
504 BEDOK NTH ST 3,0.15130197285387437,21
626 CHOA CHU KANG ST 62,0.1355410030917901,6
547 ANG MO KIO AVE 10,0.41605696528838537,13
195E PUNGGOL RD,0.24970637301805268,15
319 UBI AVE 1,0.25594693434283033,15
288 CHOA CHU KANG AVE 3,0.19466284003016837,9
277B COMPASSVALE LINK,0.10049244834218844,16
881 TAMPINES ST 84,0.383774680874415,10
133 SIMEI ST 1,0.4431289117728803,15
89 TANGLIN HALT RD,0.11099203183691995,17
310 SHUNFU RD,0.3078171425959782,10
296 CHOA CHU KANG AVE 2,0.21769475499578964,10
857 WOODLANDS ST 83,0.37657225357129903,15
496D TAMPINES AVE 9,0.37774751940591583,18
556 ANG MO KIO AVE 10,0.41133904865151294,13
395 TAMPINES AVE 7,0.4306393553481698,17
50 DORSET RD,0.29387313387425285,27
180B MARSILING RD,0.8652082385878093,8
43 LENGKOK BAHRU,0.3119621563261244,17
269C PUNGGOL FIELD,0.27213067483897724,17
711 HOUGANG AVE 2,0.7869022095819601,18
213 BISHAN ST 23,0.4860885319618048,16
132 YISHUN ST 11,0.36340055780059,18
826 YISHUN ST 81,0.34917432336801635,11
246 JURONG EAST ST 24,0.634793680243869,18
128 POTONG PASIR AVE 1,0.2867352156453163,16
180B RIVERVALE CRES,0.6111527264443092,16
