,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,629 SENJA ROAD SINGAPORE 670629,629,NIL,1.386528024,103.759279,103.759279,670629,SENJA ROAD,629 SENJA ROAD SINGAPORE 670629,19760.344419999998,40940.86877,629 SENJA RD
0,450D TAMPINES STREET 42 HDB-TAMPINES SINGAPORE 524450,450D,HDB-TAMPINES,1.3571353640000001,103.9528738,103.9528738,524450,TAMPINES STREET 42,HDB-TAMPINES,41305.124130000004,37690.97784,450D TAMPINES ST 42
0,90 BEDOK NORTH STREET 4 HDB-BEDOK SINGAPORE 460090,90,HDB-BEDOK,1.332149272,103.9404499,103.9404499,460090,BEDOK NORTH STREET 4,HDB-BEDOK,39922.614030000004,34928.07388,90 BEDOK NTH ST 4
0,677C JURONG WEST STREET 64 EDELWEISS@JURONG SINGAPORE 643677,677C,EDELWEISS@JURONG,1.3453526919999999,103.70496,103.70496,643677,JURONG WEST STREET 64,EDELWEISS@JURONG,13715.086080000001,36388.15725,677C JURONG WEST ST 64
0,284 TAMPINES STREET 22 HDB-TAMPINES SINGAPORE 520284,284,HDB-TAMPINES,1.349103845,103.9526282,103.9526282,520284,TAMPINES STREET 22,HDB-TAMPINES,41277.836760000006,36802.89019,284 TAMPINES ST 22
1,284 TAMPINES STREET 22 PCF SPARKLETOTS PRESCHOOL @ TAMPINES-CHANGKAT BLK 284 (KN) SINGAPORE 520284,284,PCF SPARKLETOTS PRESCHOOL @ TAMPINES-CHANGKAT BLK 284 (KN),1.349103845,103.9526282,103.9526282,520284,TAMPINES STREET 22,PCF SPARKLETOTS PRESCHOOL @ TAMPINES-CHANGKAT BLK 284 (KN),41277.837,36802.89019,284 TAMPINES ST 22
0,3B UPPER BOON KENG ROAD KALLANG HEIGHTS SINGAPORE 382003,3B,KALLANG HEIGHTS,1.314298734,103.8728282,103.8728282,382003,UPPER BOON KENG ROAD,KALLANG HEIGHTS,32397.04595,32954.02864,3B UPP BOON KENG RD
0,311 SERANGOON AVENUE 2 HDB-SERANGOON ESTATE SINGAPORE 550311,311,HDB-SERANGOON ESTATE,1.353762881,103.8663265,103.8663265,550311,SERANGOON AVENUE 2,HDB-SERANGOON ESTATE,31673.40133,37317.7621,311 SERANGOON AVE 2
0,103 PASIR RIS STREET 12 HDB-PASIR RIS SINGAPORE 510103,103,HDB-PASIR RIS,1.367695081,103.9584042,103.9584042,510103,PASIR RIS STREET 12,HDB-PASIR RIS,41920.53944,38858.65145,103 PASIR RIS ST 12
0,617A JURONG WEST STREET 65 MULTI STOREY CAR PARK SINGAPORE 641617,617A,MULTI STOREY CAR PARK,1.340878429,103.7000939,103.7000939,641617,JURONG WEST STREET 65,MULTI STOREY CAR PARK,13173.5147,35893.4438,617 JURONG WEST ST 65
1,617 JURONG WEST STREET 65 HDB-JURONG WEST SINGAPORE 640617,617,HDB-JURONG WEST,1.34092565,103.70056140000001,103.70056140000001,640617,JURONG WEST STREET 65,HDB-JURONG WEST,13225.53994,35898.66236,617 JURONG WEST ST 65
2,617 JURONG WEST STREET 65,617,NIL,1.340707154,103.7004697,103.7004697,NIL,JURONG WEST STREET 65,617 JURONG WEST STREET 65,13215.34181,35874.5027,617 JURONG WEST ST 65
0,207 TOA PAYOH NORTH TOA PAYOH NORTH SINGAPORE 310207,207,TOA PAYOH NORTH,1.34240197,103.8452265,103.8452265,310207,TOA PAYOH NORTH,TOA PAYOH NORTH,29325.223619999997,36061.50886,207 TOA PAYOH NTH
1,207 TOA PAYOH NORTH BOON TECK NEIGHBOURHOOD POLICE POST SINGAPORE 310207,207,BOON TECK NEIGHBOURHOOD POLICE POST,1.342382311,103.84559809999999,103.84559809999999,310207,TOA PAYOH NORTH,BOON TECK NEIGHBOURHOOD POLICE POST,29366.58191,36059.33532,207 TOA PAYOH NTH
0,642 YISHUN STREET 61 HDB-YISHUN SINGAPORE 760642,642,HDB-YISHUN,1.420970055,103.8374468,103.8374468,760642,YISHUN STREET 61,HDB-YISHUN,28459.41128,44749.16587,642 YISHUN ST 61
0,195D PUNGGOL ROAD THE PERIWINKLE SINGAPORE 824195,195D,THE PERIWINKLE,1.401367945,103.907096,103.907096,824195,PUNGGOL ROAD,THE PERIWINKLE,36210.42317,42581.79242,195D PUNGGOL RD
0,136 SERANGOON NORTH AVENUE 2 HDB-SERANGOON ESTATE SINGAPORE 550136,136,HDB-SERANGOON ESTATE,1.3681015980000002,103.8749878,103.8749878,550136,SERANGOON NORTH AVENUE 2,HDB-SERANGOON ESTATE,32637.2869,38903.279630000005,136 SERANGOON NTH AVE 2
