,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,31,ANCHOR GREEN PRIMARY SCHOOL,1.390662478,103.8872561,103.8872561,544969,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,34002.539469999996,41397.97541,Anchor Green Primary School
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,Radin Mas Primary School
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,CHIJ (Kellock)
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,CHIJ (Katong) Primary
0,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,11,GREENRIDGE PRIMARY SCHOOL,1.3858737540000001,103.7678146,103.7678146,677744,JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,20710.25094,40868.49494,Greenridge Primary School
0,150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822,150,PALM VIEW PRIMARY SCHOOL,1.3838407640000001,103.8912151,103.8912151,544822,COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,34443.145789999995,40643.67495,Palm View Primary School
0,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,9,PUNGGOL VIEW PRIMARY SCHOOL,1.4053333140000002,103.9053865,103.9053865,828845,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,36020.17415,43020.25725,Punggol View Primary School
0,15 YISHUN AVENUE 4 NORTHLAND PRIMARY SCHOOL SINGAPORE 769026,15,NORTHLAND PRIMARY SCHOOL,1.421304044,103.8407929,103.8407929,769026,YISHUN AVENUE 4,NORTHLAND PRIMARY SCHOOL,28831.785289999996,44786.09772,Northland Primary School
0,60 PASIR RIS DRIVE 1 PARK VIEW PRIMARY SCHOOL SINGAPORE 519524,60,PARK VIEW PRIMARY SCHOOL,1.377770261,103.9396887,103.9396887,519524,PASIR RIS DRIVE 1,PARK VIEW PRIMARY SCHOOL,39837.67607,39972.6151,Park View Primary School
0,8 YISHUN STREET 21 XISHAN PRIMARY SCHOOL SINGAPORE 768611,8,XISHAN PRIMARY SCHOOL,1.433501455,103.83828929999999,103.83828929999999,768611,YISHUN STREET 21,XISHAN PRIMARY SCHOOL,28553.16735,46134.82524,Xishan Primary School
0,60 BUKIT PANJANG RING ROAD WEST SPRING PRIMARY SCHOOL SINGAPORE 679946,60,WEST SPRING PRIMARY SCHOOL,1.389463118,103.76607729999999,103.76607729999999,679946,BUKIT PANJANG RING ROAD,WEST SPRING PRIMARY SCHOOL,20516.91679,41265.39429,West Spring Primary School
0,50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239,50,TELOK KURAU PRIMARY SCHOOL,1.330913472,103.9113491,103.9113491,479239,BEDOK RESERVOIR ROAD,TELOK KURAU PRIMARY SCHOOL,36683.99731,34791.30364,Telok Kurau Primary School
0,20 MARYMOUNT ROAD MARYMOUNT CONVENT SCHOOL SINGAPORE 297754,20,MARYMOUNT CONVENT SCHOOL,1.340427023,103.839899,103.839899,297754,MARYMOUNT ROAD,MARYMOUNT CONVENT SCHOOL,28732.32588,35843.12718,Marymount Convent School
0,10 WOODLANDS DRIVE 50 WOODLANDS PRIMARY SCHOOL SINGAPORE 738853,10,WOODLANDS PRIMARY SCHOOL,1.436746383,103.79177170000001,103.79177170000001,738853,WOODLANDS DRIVE 50,WOODLANDS PRIMARY SCHOOL,23376.46585,46493.67452,Woodlands Primary School
0,8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332,8,SHUQUN PRIMARY SCHOOL,1.34756849,103.721558,103.721558,649332,JURONG WEST STREET 51,SHUQUN PRIMARY SCHOOL,15562.2762,36633.07842,Shuqun Primary School
0,161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,161,LAKESIDE PRIMARY SCHOOL,1.3383757029999999,103.7180505,103.7180505,618310,CORPORATION WALK,LAKESIDE PRIMARY SCHOOL,15171.88895,35616.60316,Lakeside Primary School
0,20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930,20,BOON LAY GARDEN PRIMARY SCHOOL,1.3428467080000002,103.712969,103.712969,649930,BOON LAY DRIVE,BOON LAY GARDEN PRIMARY SCHOOL,14606.39151,36111.01221,Boon Lay Garden Primary School
0,3 TAMPINES STREET 22 ANGSANA PRIMARY SCHOOL SINGAPORE 529366,3,ANGSANA PRIMARY SCHOOL,1.348571433,103.951673,103.951673,529366,TAMPINES STREET 22,ANGSANA PRIMARY SCHOOL,41171.54153,36744.01349,Angsana Primary School
