flat,school,school_dist,num_school_2km
899B WOODLANDS DR 50,Woodlands Ring Primary School,0.3239853508022905,11
842 TAMPINES ST 82,Junyuan Primary School,0.5916045017776463,8
307B ANG MO KIO AVE 1,Teck Ghee Primary School,0.7158921262590452,9
142 BISHAN ST 12,Guangyang Primary School,0.46667582343533603,12
12 UPP BOON KENG RD,Bendemeer Primary School,1.0261236183692908,5
178 EDGEFIELD PLAINS,Edgefield Primary School,0.14869448470221341,14
132 CLARENCE LANE,Gan Eng Seng Primary School,0.6770274397322072,6
288D BT BATOK ST 25,Keming Primary School,0.33903888516296943,5
174C EDGEDALE PLAINS,Greendale Primary School,0.2465250162527187,13
229 PASIR RIS ST 21,Pasir Ris Primary School,0.13367403181530707,5
35 JLN RUMAH TINGGI,Gan Eng Seng Primary School,0.7452096658524334,6
335 TAMPINES ST 32,East Spring Primary School,0.14637665597452093,9
410A FERNVALE RD,Fernvale Primary School,0.2048726817022765,10
325 CLEMENTI AVE 5,Pei Tong Primary School,0.11434198940161859,5
584 WOODLANDS DR 16,Innova Primary School,0.4748314907727229,10
653C JURONG WEST ST 61,Frontier Primary School,0.3341537791076563,8
31 HOLLAND CL,New Town Primary School,0.8618695509202042,6
360 BT BATOK ST 31,Dazhong Primary School,0.3528306913584637,5
915 HOUGANG ST 91,Yio Chu Kang Primary School,0.22459426855994763,15
141 PASIR RIS ST 11,White Sands Primary School,0.28724809885075786,10
312 TAMPINES ST 33,East Spring Primary School,0.5079019031600761,9
617C PUNGGOL DR,Horizon Primary School,0.22482559764040225,13
177 WOODLANDS ST 13,Fuchun Primary School,0.41124734046780825,7
328 SERANGOON AVE 3,Yangzheng Primary School,0.14531451219849784,10
188B RIVERVALE DR,Rivervale Primary School,0.13500034470947997,17
239 LOR 1 TOA PAYOH,Kheng Cheng School,0.5008115571911143,9
724 JURONG WEST ST 72,West Grove Primary School,0.09572226617773982,9
218 PETIR RD,Bukit Panjang Primary School,0.48977727043121155,7
58 STRATHMORE AVE,Queenstown Primary School,0.45421035672697097,6
310 TAMPINES ST 32,East Spring Primary School,0.5233619872547124,9
