flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
338 HOUGANG AVE 7,CHIJ Our Lady of the Nativity,0.4012464682461216,10,Market Street Food Centre,1.8462944006079776,2,0.6701485908144136,5,The Midtown,0.4210467448271547,5,HOUGANG MRT STATION,0.7408641388849547,5,0.5603153431121837,14,9.807503058844889
621 BT BATOK CTRL,Bukit View Primary School,0.752001571042245,7,Market Street Food Centre,1.38339148840201,1,1.1669636566950088,8,West Mall,0.0759499430093648,3,BUKIT BATOK MRT STATION,0.1918124858856217,3,0.0886489088147804,18,12.16982175232093
88 REDHILL CL,Gan Eng Seng Primary School,0.3750554466168135,8,Blk 115 Bukit Merah View,0.3860927499614549,8,0.6355022797553656,7,Tiong Bahru Plaza,0.9554250924140952,6,REDHILL MRT STATION,0.4565238984054822,4,0.1196475706303644,19,3.322609021603143
626 JURONG WEST ST 65,Jurong West Primary School,0.2909721061105091,9,Blk 505 Jurong West Street 52,2.3796598446340846,0,0.7893847329421325,4,Pioneer Mall,0.168949419977984,4,PIONEER MRT STATION,0.4884173489587083,2,0.1428845002568619,9,16.99766612015396
104 SPOTTISWOODE PK RD,Cantonment Primary School,0.5738601180249177,5,Blk 6 Tanjong Pagar Plaza,0.9535869295897856,13,1.0211045120116098,10,100 AM,0.9563759272362128,6,OUTRAM PARK MRT STATION,0.788172196493796,9,0.9264533906415992,17,2.9849766262159965
542 SERANGOON NTH AVE 4,Rosyth School,0.3019692080858081,9,Chomp Chomp Food Centre,1.230694513876378,2,0.7111173564646628,24,Hougang 1,0.8383452535442582,5,FERNVALE LRT STATION,2.0484533668016494,0,0.0822106713667479,15,8.766410324063358
990B JURONG WEST ST 93,Frontier Primary School,0.5665468581267441,7,Taman Jurong Market & Food Centre,2.977264909479276,0,0.3210696527424334,3,Pioneer Mall,0.7414425471934405,3,PIONEER MRT STATION,0.3844518435358619,2,0.2413189962136211,8,17.215896983037908
212 JURONG EAST ST 21,Yuhua Primary School,0.4262469360402005,6,Market Street Food Centre,0.564869967484678,1,1.0808234940203003,1,Westgate,0.5992016464250182,5,JURONG EAST MRT STATION,0.6908164978803254,4,0.4146480576044122,16,12.47502130736084
176 ANG MO KIO AVE 4,Mayflower Primary School,0.0517531552388903,7,Sembawang Hill Food Centre,0.884366123164243,2,0.4074446309626046,27,Broadway Plaza,1.1749796052253378,2,YIO CHU KANG MRT STATION,1.1759822655507737,2,0.4208950709249282,8,8.524170958386689
806 KING GEORGE'S AVE,Stamford Primary School,0.6443031761188033,4,North Bridge Road Market & Food Centre,0.4220009939263466,8,0.2246328839641303,12,Aperia,0.3555101888312505,18,LAVENDER MRT STATION,0.2274651716618469,24,0.0314495594743298,29,2.038275104410973
646 JLN TENAGA,Telok Kurau Primary School,0.5775903027834992,5,Blk 4A Eunos Crescent,1.2261761923483776,2,1.0467127514689385,7,Singapore Post Centre (Singpost Centre),1.868551970923624,1,KAKI BUKIT MRT STATION,0.4800844394274848,7,0.4968247493819764,12,7.64256985203098
112 BT PURMEI RD,Radin Mas Primary School,0.1966544881335059,8,Blk 112 Jalan Bukit Merah,0.6122216870416932,6,0.8567721514914795,7,VivoCity,1.2025953922302404,5,HARBOURFRONT MRT STATION,1.110425954871715,7,0.8151513167098622,16,3.4939956123793765
729 WOODLANDS CIRCLE,Admiralty Primary School,0.1652566468579767,10,Blks 20/21 Marsiling Lane,2.388241754369111,0,1.8530996153921573,1,Woodlands Mart,0.3452166340173138,4,ADMIRALTY MRT STATION,0.3420783087966714,4,0.3411706638312385,15,16.669410181049482
847 WOODLANDS ST 82,Qihua Primary School,0.3778781864537173,11,Blks 20/21 Marsiling Lane,1.6268025598384852,4,1.0994766625274464,3,888 Plaza,0.6819970366524027,5,WOODLANDS MRT STATION,0.7941456725988721,4,0.1195826608211669,15,16.882034553349783
340 BT BATOK ST 34,Dazhong Primary School,0.4770514189179192,5,Market Street Food Centre,2.5303190147298,0,0.9681009391129628,10,West Mall,1.4336808764616764,4,BUKIT GOMBAK MRT STATION,0.5521169765376817,8,0.3104018945172127,15,12.78145334938526
184 JELEBU RD,West View Primary School,0.4912568026046207,9,Bukit Timah Market,4.687134837903548,0,0.7165232468352419,11,Hillion Mall,0.1489137906390279,7,BUKIT PANJANG MRT STATION,0.1258016751624401,16,0.2256971285636375,12,12.808028374668389
69 TELOK BLANGAH HTS,Blangah Rise Primary School,0.1959557976642555,5,Blk 11 Telok Blangah Crescent,0.9475554965774096,5,0.3615636544397719,6,IMM,0.3023732558681275,7,TELOK BLANGAH MRT STATION,0.5377191824521693,5,0.2845692453879615,14,4.693549483014667
732 WOODLANDS CIRCLE,Admiralty Primary School,0.2158508473613934,10,Blks 20/21 Marsiling Lane,2.346641787384311,0,1.808755822240204,1,Woodlands Mart,0.2547793491175448,4,ADMIRALTY MRT STATION,0.4289667257087362,4,0.2727481620619897,15,16.76378539365661
172 WOODLANDS ST 13,Fuchun Primary School,0.3757251827511862,7,Blks 20/21 Marsiling Lane,1.0489754436692675,4,0.3402563667262255,3,Marsiling Mall,0.253322957353553,2,MARSILING MRT STATION,0.4140415508818271,5,0.4153325876847572,7,16.69148727523522
221 BOON LAY PL,Boon Lay Garden Primary School,0.3214660633259987,9,Blk 505 Jurong West Street 52,0.735821421814203,3,0.7989573350906618,5,Boon Lay Shopping Centre,0.0967018598727121,5,LAKESIDE MRT STATION,0.8941755165310247,3,0.0967018598727121,11,15.583233716110971
