flat,mrt,mrt_dist,num_mrt_2km
50 DORSET RD,FARRER PARK MRT STATION,0.3774395923383103,19
180B MARSILING RD,MARSILING MRT STATION,0.8648891890195765,3
43 LENGKOK BAHRU,REDHILL MRT STATION,0.7089928609724392,5
269C PUNGGOL FIELD,SOO TECK LRT STATION,0.2179677911869001,21
711 HOUGANG AVE 2,KOVAN MRT STATION,0.7455417546146024,3
213 BISHAN ST 23,BISHAN MRT STATION,0.658443628377162,6
132 YISHUN ST 11,YISHUN MRT STATION,0.5594819923650741,2
826 YISHUN ST 81,KHATIB MRT STATION,0.35965642143886617,2
246 JURONG EAST ST 24,CHINESE GARDEN MRT STATION,0.8296515195729066,4
128 POTONG PASIR AVE 1,POTONG PASIR MRT STATION,0.5242743185594025,8
180B RIVERVALE CRES,RUMBIA LRT STATION,0.4240421608644094,18
542 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.8817726491522822,2
417 BT BATOK WEST AVE 4,BUKIT GOMBAK MRT STATION,0.7584511978681756,5
415 SERANGOON CTRL,SERANGOON MRT STATION,0.10461547561950447,6
270A SENGKANG CTRL,BUANGKOK MRT STATION,0.3426399758690911,16
214 BEDOK NTH ST 1,BEDOK MRT STATION,0.35140587110473176,4
127 SIMEI ST 1,SIMEI MRT STATION,0.38940270440702385,8
235 CHOA CHU KANG CTRL,KEAT HONG LRT STATION,0.1352076155850949,12
788C WOODLANDS CRES,ADMIRALTY MRT STATION,0.3751340510136585,3
22 HAVELOCK RD,TIONG BAHRU MRT STATION,0.3486468138121532,10
474 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.4543359446896548,5
14 BEDOK STH AVE 2,BEDOK MRT STATION,0.751038133357196,3
265 BOON LAY DR,BOON LAY MRT STATION,0.7843344371365527,3
303 ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.6006173738796883,4
479 PASIR RIS DR 4,PASIR RIS MRT STATION,1.1359972758696646,1
5 UPP ALJUNIED LANE,MATTAR MRT STATION,0.8437065361594343,10
110 CLEMENTI ST 13,CLEMENTI MRT STATION,1.0710619481758155,2
104 JURONG EAST ST 13,JURONG EAST MRT STATION,0.645138090588961,4
347 WOODLANDS AVE 3,WOODLANDS MRT STATION,0.6819463740086058,4
892 TAMPINES AVE 8,TAMPINES WEST MRT STATION,1.0908420682293507,4
335 UBI AVE 1,UBI MRT STATION,0.5894440138143054,10
10 EUNOS CRES,EUNOS MRT STATION,0.28310390528661317,8
260 TAMPINES ST 21,TAMPINES EAST MRT STATION,0.5293340618944236,6
391 TAMPINES AVE 7,TAMPINES EAST MRT STATION,0.3782303162665565,5
107 PASIR RIS ST 12,PASIR RIS MRT STATION,1.1028703302395888,2
151 SIMEI ST 1,SIMEI MRT STATION,0.5205129954239518,7
441 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.7843704839660645,2
9 REDHILL CL,REDHILL MRT STATION,0.5131854385205349,4
375 HOUGANG ST 31,KOVAN MRT STATION,0.5998818840063976,2
82 MACPHERSON LANE,TAI SENG MRT STATION,0.44998063849420106,12
927 HOUGANG ST 91,HOUGANG MRT STATION,1.4204517441729931,7
310C PUNGGOL WALK,SUMANG LRT STATION,0.20557871989729923,16
285B TOH GUAN RD,JURONG EAST MRT STATION,0.7716495509085239,4
355 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.7891135426553002,4
390 YISHUN AVE 6,YISHUN MRT STATION,1.4913707850814546,1
122 GEYLANG EAST CTRL,ALJUNIED MRT STATION,0.269299543155745,12
410 TAMPINES ST 41,TAMPINES MRT STATION,0.5319427383428545,6
130 BT MERAH VIEW,TIONG BAHRU MRT STATION,0.3452963074100257,4
517 CHOA CHU KANG ST 51,CHOA CHU KANG MRT STATION,0.6520750210329374,6
18 TECK WHYE LANE,TECK WHYE LRT STATION,0.18224041503011576,15
570B WOODLANDS AVE 1,WOODLANDS SOUTH MRT STATION,0.5664338036975451,5
296 YISHUN ST 20,YISHUN MRT STATION,0.6601450910366747,1
210 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.3950925089757849,5
651 YISHUN AVE 4,YISHUN MRT STATION,0.8122570943976043,2
520 JELAPANG RD,JELAPANG LRT STATION,0.22233428290176518,13
405B FERNVALE LANE,FERNVALE LRT STATION,0.4328795767905985,7
612 ELIAS RD,PASIR RIS MRT STATION,0.8228466660278989,1
